IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name
197.237.87.97,2024-12-13,19:24:55 UTC,necessary+analytics+targeting,desktop,en,Edge,Windows
105.161.98.22,2024-12-14,12:08:29 UTC,necessary,mobile,en,Instagram,iOS
102.215.34.196,2024-12-15,11:43:32 UTC,necessary,mobile,en,Instagram,iOS
102.215.34.196,2024-12-15,11:44:51 UTC,necessary+analytics+targeting,mobile,en,Chrome,iOS
102.215.34.196,2024-12-15,11:48:06 UTC,necessary,mobile,en,Safari,iOS
49.145.115.63,2024-12-16,03:23:28 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
197.237.87.97,2024-12-17,02:13:35 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
102.135.169.167,2024-12-19,08:20:21 UTC,necessary+analytics+targeting,desktop,en,Firefox,Windows
41.90.172.43,2024-12-22,20:21:22 UTC,necessary,mobile,en,Instagram,Android
94.201.105.155,2024-12-23,04:18:32 UTC,necessary,mobile,en,Instagram,iOS
41.90.172.31,2024-12-30,08:19:25 UTC,necessary+analytics+targeting,mobile,en,Instagram,Android
196.97.0.174,2024-12-31,14:57:26 UTC,necessary,mobile,en,Instagram,Android
41.90.189.106,2025-01-03,00:15:24 UTC,necessary,mobile,en,Instagram,Android
105.163.1.81,2025-01-03,16:39:21 UTC,necessary,mobile,en,Chrome,Android
196.96.236.104,2025-01-04,20:02:17 UTC,necessary,mobile,en,Instagram,Android
41.90.172.226,2025-01-05,11:36:59 UTC,necessary,mobile,en,Instagram,iOS
197.248.102.133,2025-01-07,06:46:55 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
196.96.67.18,2025-01-09,10:09:43 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
197.232.51.245,2025-01-10,07:31:42 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
91.102.180.15,2025-01-11,20:56:18 UTC,necessary,mobile,en,Instagram,iOS
41.80.116.76,2025-01-13,16:53:17 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
91.196.69.225,2025-01-15,16:00:53 UTC,necessary,desktop,en,Chrome,OS X
102.0.15.204,2025-01-16,16:35:48 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
197.220.96.139,2025-01-17,07:37:47 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
197.220.96.139,2025-01-19,14:22:51 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
197.220.96.139,2025-01-19,14:27:40 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
197.232.62.185,2025-01-21,07:11:53 UTC,necessary,mobile,en,Chrome,Android
102.217.64.56,2025-01-23,21:52:20 UTC,necessary,mobile,en,Instagram,iOS
197.248.36.181,2025-01-24,10:47:47 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
169.239.170.198,2025-01-24,13:50:07 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
197.232.18.233,2025-01-26,11:07:26 UTC,necessary,mobile,en,Chrome,Android
102.216.116.10,2025-01-31,17:52:48 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
197.232.46.71,2025-02-09,13:42:57 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
197.232.46.71,2025-02-09,15:14:05 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
105.161.77.183,2025-02-09,15:18:29 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
197.220.96.139,2025-02-09,23:00:03 UTC,necessary+analytics+targeting,mobile,en,Opera Mobile,Android
197.248.186.234,2025-02-10,10:12:10 UTC,necessary,mobile,en,Safari,iOS
105.160.33.203,2025-02-10,11:34:30 UTC,necessary,mobile,en,Safari,iOS
105.161.132.85,2025-02-10,11:44:08 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
105.161.132.85,2025-02-10,11:47:19 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
